Date,SPEED,PRESSURE
"Dienstag, 1. Januar 2019","2,00",502
"Dienstag, 1. Januar 2019","2,10",
"Dienstag, 1. Januar 2019","2,20",400
"Dienstag, 1. Januar 2019","2,30",
"Dienstag, 1. Januar 2019","2,40",380
"Dienstag, 1. Januar 2019","2,50",
"Dienstag, 1. Januar 2019","2,60",
"Dienstag, 1. Januar 2019","2,70",701
"Dienstag, 1. Januar 2019","2,80",
"Dienstag, 1. Januar 2019","2,90",123
"Dienstag, 1. Januar 2019","3,00",
"Dienstag, 1. Januar 2019","3,10",
"Dienstag, 1. Januar 2019","3,20",483
"Dienstag, 1. Januar 2019","3,30",
"Dienstag, 1. Januar 2019","3,40",904
"Dienstag, 1. Januar 2019","3,50",
"Dienstag, 1. Januar 2019","3,60",1804
"Dienstag, 1. Januar 2019","3,70",
"Dienstag, 1. Januar 2019","3,80",2390
"Dienstag, 1. Januar 2019","3,90",
"Dienstag, 1. Januar 2019","4,00",
"Dienstag, 1. Januar 2019","4,10",
"Dienstag, 1. Januar 2019","4,20",
"Dienstag, 1. Januar 2019","4,30",2190
"Dienstag, 1. Januar 2019","4,40",
"Dienstag, 1. Januar 2019","4,50",
"Dienstag, 1. Januar 2019","4,60",1298
"Dienstag, 1. Januar 2019","4,70",
"Dienstag, 1. Januar 2019","4,80",
